ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CATEGORY,SUBCATEGORY,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,PAYMENTFULLNAME
10107,30,95.7,2,2871,2/24/2003,Shipped,1,2,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Small,Yu Kwai
10121,34,81.35,5,2765.9,5/7/2003,Shipped,2,5,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,Small,Henriot Paul
10134,41,94.74,2,3884.34,7/1/2003,Shipped,3,7,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium,DaCunha Daniel
10145,45,83.26,6,3746.7,8/25/2003,Shipped,3,8,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium,Young Julie
10159,49,100,14,5205.27,10/10/2003,Shipped,4,10,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium,Brown Julie
10168,36,96.66,1,3479.76,10/28/2003,Shipped,4,10,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,Hirano Juri
10180,29,86.13,9,2497.77,11/11/2003,Shipped,4,11,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Small,Rance Martine
10188,48,100,1,5512.32,11/18/2003,Shipped,4,11,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,Oeztan Veysel
10201,22,98.57,2,2168.54,12/1/2003,Shipped,4,12,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Small,Murphy Julie
10211,41,100,14,4708.44,1/15/2004,Shipped,1,1,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium,Perrier Dominique
10223,37,100,1,3965.66,2/20/2004,Shipped,1,2,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,Ferguson Peter
10237,23,100,7,2333.12,4/5/2004,Shipped,2,4,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael,Small,Frick Michael
10251,28,100,2,3188.64,5/18/2004,Shipped,2,5,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Medium,Brown William
10263,34,100,2,3676.76,6/28/2004,Shipped,2,6,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Medium,King Julie
10275,45,92.83,1,4177.35,7/23/2004,Shipped,3,7,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium,Labrune Janine
10285,36,100,6,4099.68,8/27/2004,Shipped,3,8,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium,Hernandez Marta
10299,23,100,9,2597.39,9/30/2004,Shipped,3,9,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Small,Karttunen Matti
10309,41,100,5,4394.38,10/15/2004,Shipped,4,10,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,Bergulfsen Jonas
10318,46,94.74,1,4358.04,11/2/2004,Shipped,4,11,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium,Yu Kyung
10329,42,100,1,4396.14,11/15/2004,Shipped,4,11,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,Yu Kwai
10341,41,100,9,7737.93,11/24/2004,Shipped,4,11,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Large,Pipps Georg
10361,20,72.55,13,1451,12/17/2004,Shipped,4,12,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,Huxley Adrian
10375,21,34.91,12,733.11,2/3/2005,Shipped,1,2,2005,Motorcycles,95,S10_1678,Furniture,Cabinet,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small,Labrune Janine
10388,42,76.36,4,3207.12,3/3/2005,Shipped,1,3,2005,Motorcycles,95,S10_1678,Furniture,Cabinet,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Medium,Benitez Violeta
10403,24,100,7,2434.56,4/8/2005,Shipped,2,4,2005,Motorcycles,95,S10_1678,Furniture,Cabinet,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small,Devon Elizabeth
10417,66,100,2,7516.08,5/13/2005,Disputed,2,5,2005,Motorcycles,95,S10_1678,Furniture,Cabinet,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,Freyre Diego
10103,26,100,11,5404.62,1/29/2003,Shipped,1,1,2003,Classic Cars,214,S10_1949,Furniture,Desk,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,Bergulfsen Jonas
10112,29,100,1,7209.11,3/24/2003,Shipped,1,3,2003,Classic Cars,214,S10_1949,Furniture,Desk,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Large,Berglund Christina
10126,38,100,11,7329.06,5/28/2003,Shipped,2,5,2003,Classic Cars,214,S10_1949,Furniture,Desk,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Large,Sommer Mart¡n
10140,37,100,11,7374.1,7/24/2003,Shipped,3,7,2003,Classic Cars,214,S10_1949,Furniture,Desk,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Large,Hirano Juri
10150,45,100,8,10993.5,9/19/2003,Shipped,3,9,2003,Classic Cars,214,S10_1949,Furniture,Desk,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,Large,Natividad Eric
10163,21,100,1,4860.24,10/20/2003,Shipped,4,10,2003,Classic Cars,214,S10_1949,Furniture,Desk,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,NA,Hernandez,Maria,Medium,Hernandez Maria
10174,34,100,4,8014.82,11/6/2003,Shipped,4,11,2003,Classic Cars,214,S10_1949,Furniture,Desk,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large,Calaghan Tony
10183,23,100,8,5372.57,11/13/2003,Shipped,4,11,2003,Classic Cars,214,S10_1949,Furniture,Desk,"Classic Gift Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca,Medium,Cervantes Francisca
10194,42,100,11,7290.36,11/25/2003,Shipped,4,11,2003,Classic Cars,214,S10_1949,Furniture,Desk,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,Large,Saveley Mary
10206,47,100,6,9064.89,12/5/2003,Shipped,4,12,2003,Classic Cars,214,S10_1949,Furniture,Desk,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,NA,Tannamuri,Yoshi,Large,Tannamuri Yoshi
10215,35,100,3,6075.3,1/29/2004,Shipped,1,1,2004,Classic Cars,214,S10_1949,Furniture,Desk,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,NA,Thompson,Steve,Medium,Thompson Steve
10228,29,100,2,6463.23,3/10/2004,Shipped,1,3,2004,Classic Cars,214,S10_1949,Furniture,Desk,Cambridge Collectables Co.,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA,NA,Tseng,Kyung,Medium,Tseng Kyung
10245,34,100,9,6120.34,5/4/2004,Shipped,2,5,2004,Classic Cars,214,S10_1949,Furniture,Desk,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,NA,Murphy,Leslie,Medium,Murphy Leslie
10258,32,100,6,7680.64,6/15/2004,Shipped,2,6,2004,Classic Cars,214,S10_1949,Furniture,Desk,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large,Shimamura Akiko
10270,21,100,9,4905.39,7/19/2004,Shipped,3,7,2004,Classic Cars,214,S10_1949,Furniture,Desk,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,Huxley Adrian
10280,34,100,2,8014.82,8/17/2004,Shipped,3,8,2004,Classic Cars,214,S10_1949,Furniture,Desk,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,Large,Accorti Paolo
10291,37,100,11,7136.19,9/8/2004,Shipped,3,9,2004,Classic Cars,214,S10_1949,Furniture,Desk,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Large,Larsson Maria
10304,47,100,6,10172.7,10/11/2004,Shipped,4,10,2004,Classic Cars,214,S10_1949,Furniture,Desk,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,Large,Tonini Daniel
10312,48,100,3,11623.7,10/21/2004,Shipped,4,10,2004,Classic Cars,214,S10_1949,Furniture,Desk,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Large,Nelson Valarie
10322,40,100,1,6000.4,11/4/2004,Shipped,4,11,2004,Classic Cars,214,S10_1949,Furniture,Desk,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA,Young,Valarie,Medium,Young Valarie
10333,26,100,3,3003,11/18/2004,Shipped,4,11,2004,Classic Cars,214,S10_1949,Furniture,Desk,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Medium,Murphy Julie
10347,30,100,1,3944.7,11/29/2004,Shipped,4,11,2004,Classic Cars,214,S10_1949,Furniture,Desk,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,Ferguson Peter
10357,32,100,10,5691.84,12/10/2004,Shipped,4,12,2004,Classic Cars,214,S10_1949,Furniture,Desk,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium,Nelson Valarie
